salary,age,credit score,debt,approved
135000,31,651,38000,1
125000,66,553,123000,0
150000,33,330,116000,0
60000,44,312,126000,0
70000,32,367,111000,0
50000,63,402,68000,0
100000,60,729,79000,1
45000,61,730,26000,1
55000,23,604,138000,0
135000,90,643,117000,0
180000,66,680,24000,1
40000,48,779,96000,1
115000,74,804,53000,1
235000,65,720,21000,1
115000,18,677,96000,0
195000,18,709,2000,1
40000,58,653,78000,0
150000,45,757,83000,1
45000,35,381,98000,0
120000,75,511,121000,0
40000,28,499,63000,0
65000,80,437,70000,0
145000,37,621,121000,0
100000,61,576,103000,0
145000,35,369,128000,0
100000,62,663,101000,0
115000,77,744,92000,1
35000,36,475,123000,0
85000,34,590,51000,0
125000,77,690,13000,1
145000,30,586,148000,0
90000,31,354,104000,0
85000,56,433,61000,0
205000,51,840,12000,1
70000,27,329,58000,0
130000,60,821,44000,1
75000,80,363,149000,0
90000,33,805,19000,1
30000,67,359,133000,0
95000,46,320,94000,0
135000,89,512,147000,0
215000,74,670,19000,1
220000,86,727,75000,1
100000,78,753,81000,1
100000,54,726,81000,1
140000,23,662,80000,0
100000,35,414,109000,0
50000,85,750,28000,1
190000,53,741,67000,1
135000,57,794,37000,1
150000,19,759,22000,1
75000,21,633,149000,0
95000,33,415,100000,0
40000,65,706,29000,1
110000,83,364,108000,0
225000,79,689,94000,1
75000,73,834,93000,1
55000,45,757,10000,1
165000,39,846,8000,1
95000,53,421,71000,0
50000,44,676,135000,0
55000,59,539,78000,0
200000,80,720,66000,1
110000,70,749,49000,1
100000,56,767,4000,1
40000,27,779,18000,1
125000,66,381,139000,0
185000,42,769,35000,1
125000,40,367,66000,0
165000,50,825,43000,1
180000,54,783,55000,1
175000,23,776,64000,1
80000,27,776,23000,1
105000,36,714,31000,1
65000,39,502,94000,0
85000,82,370,107000,0
175000,77,790,4000,1
40000,84,798,58000,1
85000,34,504,124000,0
215000,33,807,73000,1
245000,21,800,56000,1
75000,66,333,63000,0
150000,26,377,71000,0
245000,30,801,9000,1
100000,43,445,50000,0
135000,26,391,50000,0
165000,60,755,51000,1
250000,58,751,48000,1
195000,75,696,88000,1
135000,25,820,4000,1
245000,37,704,59000,1
50000,51,399,114000,0
80000,68,711,49000,1
110000,35,614,75000,0
75000,52,723,67000,1
165000,63,797,75000,1
160000,42,650,28000,1
130000,61,581,94000,0
150000,53,735,40000,1
240000,84,662,83000,1
65000,48,848,1000,1
140000,30,700,26000,1
50000,32,629,101000,0
195000,58,677,40000,1
100000,25,704,78000,1
125000,50,724,58000,1
230000,33,803,0,1
45000,48,472,77000,0
100000,59,648,140000,0
55000,79,635,83000,0
65000,28,724,51000,1
85000,27,338,117000,0
85000,50,716,44000,1
110000,67,802,78000,1
175000,77,760,44000,1
105000,35,505,94000,0
250000,59,653,11000,1
195000,79,653,20000,1
135000,22,465,85000,0
60000,51,517,124000,0
125000,75,436,140000,0
115000,66,555,111000,0
110000,26,325,110000,0
30000,56,727,48000,1
125000,85,750,33000,1
50000,58,697,87000,1
160000,65,826,83000,1
70000,29,647,136000,0
85000,33,637,62000,0
150000,50,434,130000,0
70000,64,525,51000,0
25000,48,607,78000,0
155000,47,667,7000,1
25000,59,740,8000,1
60000,31,474,74000,0
80000,84,814,46000,1
150000,65,747,73000,1
230000,78,770,23000,1
80000,39,559,53000,0
135000,72,536,98000,0
50000,86,658,110000,0
30000,89,654,90000,0
90000,26,702,64000,1
150000,64,478,71000,0
100000,79,660,66000,0
70000,87,776,56000,1
140000,78,494,118000,0
70000,45,814,67000,1
85000,77,715,20000,1
180000,81,726,99000,1
150000,90,592,87000,0
105000,63,656,29000,1
60000,70,313,97000,0
40000,76,440,131000,0
150000,90,304,121000,0
90000,65,621,73000,0
40000,85,788,10000,1
245000,66,752,71000,1
65000,27,300,75000,0
165000,40,797,20000,1
225000,68,701,94000,1
90000,39,846,98000,1
30000,42,332,87000,0
145000,66,419,106000,0
145000,72,781,43000,1
40000,86,808,27000,1
145000,53,367,108000,0
125000,61,318,102000,0
145000,56,367,80000,0
175000,75,835,36000,1
200000,21,665,87000,1
40000,79,538,117000,0
125000,45,675,57000,1
95000,33,328,126000,0
225000,61,694,97000,1
45000,86,739,6000,1
40000,78,350,95000,0
75000,60,726,60000,1
90000,62,698,60000,1
65000,70,762,39000,1
125000,73,709,97000,1
140000,76,403,113000,0
220000,82,825,92000,1
80000,45,834,64000,1
250000,69,814,87000,1
115000,37,387,88000,0
135000,19,414,93000,0
140000,36,825,76000,1
110000,22,708,50000,1
140000,50,707,21000,1
120000,65,521,63000,0
25000,66,423,76000,0
235000,87,711,0,1
85000,28,806,83000,1
85000,61,395,118000,0
25000,31,533,66000,0
40000,18,324,115000,0
95000,39,844,86000,1
120000,46,559,125000,0
60000,70,525,138000,0
85000,49,653,3000,1
30000,69,407,130000,0
95000,25,413,103000,0
230000,66,813,28000,1
65000,53,650,41000,1
240000,55,805,86000,1
145000,56,661,141000,0
95000,24,731,85000,1
80000,86,759,26000,1
170000,65,845,18000,1
150000,52,435,81000,0
100000,18,694,7000,1
140000,71,702,80000,1
100000,47,737,24000,1
30000,77,808,75000,1
55000,58,523,50000,0
70000,69,475,98000,0
100000,23,488,118000,0
45000,27,662,98000,1
95000,86,675,72000,1
90000,38,691,49000,1
35000,53,344,118000,0
115000,26,350,117000,0
25000,23,308,144000,0
235000,68,786,72000,1
45000,27,322,140000,0
160000,40,820,74000,1
90000,59,559,60000,0
110000,89,796,10000,1
190000,49,822,79000,1
100000,77,812,24000,1
60000,43,661,96000,1
210000,77,770,79000,1
215000,86,700,54000,1
215000,18,760,2000,1
105000,25,300,140000,0
110000,67,360,67000,0
50000,68,749,33000,1
155000,89,707,87000,1
45000,55,438,110000,0
105000,80,703,5000,1
55000,22,807,24000,1
25000,47,815,72000,1
50000,60,844,49000,1
125000,81,556,79000,0
100000,23,634,84000,0
95000,63,337,92000,0
40000,66,826,14000,1
120000,24,844,75000,1
120000,24,405,53000,0
170000,84,771,62000,1
65000,55,339,133000,0
245000,85,774,79000,1
25000,18,352,86000,0
75000,87,494,77000,0
95000,81,551,132000,0
155000,78,799,92000,1
95000,86,364,102000,0
30000,18,705,96000,1
85000,75,740,25000,1
135000,38,705,13000,1
100000,68,371,144000,0
100000,51,577,82000,0
85000,87,727,57000,1
185000,41,841,96000,1
125000,69,431,122000,0
75000,75,616,116000,0
240000,78,740,45000,1
55000,40,755,77000,1
120000,53,581,108000,0
30000,62,745,84000,1
245000,27,833,56000,1
75000,32,355,100000,0
25000,44,400,54000,0
30000,47,680,27000,1
235000,60,684,84000,1
55000,88,300,81000,0
115000,21,767,92000,1
95000,32,548,77000,0
50000,44,428,99000,0
65000,56,597,72000,0
80000,85,554,148000,0
135000,65,524,126000,0
100000,57,733,15000,1
25000,31,330,72000,0
95000,32,666,57000,0
125000,79,678,128000,0
135000,57,769,23000,1
70000,59,401,126000,0
60000,48,737,66000,1
100000,57,641,109000,0
130000,43,381,140000,0
50000,46,684,50000,1
50000,67,610,134000,0
155000,39,747,2000,1
135000,46,821,79000,1
225000,36,843,98000,1
90000,20,406,117000,0
80000,84,659,19000,1
75000,75,469,149000,0
150000,25,343,104000,0
55000,50,821,24000,1
230000,82,733,77000,1
100000,72,422,138000,0
130000,37,586,133000,0
220000,47,702,31000,1
120000,33,712,49000,1
150000,50,719,16000,1
140000,18,365,56000,0
115000,22,528,141000,0
90000,19,746,90000,1
125000,69,796,83000,1
90000,86,348,99000,0
45000,72,796,49000,1
85000,75,623,129000,0
135000,19,530,76000,0
120000,87,670,69000,1
105000,76,524,64000,0
60000,78,645,115000,0
150000,48,451,85000,0
95000,64,493,136000,0
145000,39,460,79000,0
55000,79,684,94000,0
135000,55,588,119000,0
45000,79,558,102000,0
165000,52,842,5000,1
140000,89,472,60000,0
25000,67,824,66000,1
30000,88,340,112000,0
30000,42,405,144000,0
195000,69,844,81000,1
120000,74,672,63000,0
155000,83,756,66000,1
105000,43,812,59000,1
110000,24,773,64000,1
135000,89,301,63000,0
165000,60,744,55000,1
85000,45,534,147000,0
185000,86,757,70000,1
55000,88,688,120000,0
160000,29,815,16000,1
135000,27,483,80000,0
95000,33,621,55000,0
25000,26,802,92000,1
115000,24,810,97000,1
130000,82,736,57000,1
50000,64,748,24000,1
45000,31,702,81000,1
95000,24,767,28000,1
110000,26,635,144000,0
125000,71,455,90000,0
155000,64,845,47000,1
220000,62,717,75000,1
110000,81,707,49000,1
65000,29,509,128000,0
105000,32,665,54000,0
65000,44,394,140000,0
95000,24,763,39000,1
145000,41,684,104000,0
125000,79,508,73000,0
115000,82,696,9000,1
190000,49,843,30000,1
25000,23,814,31000,1
90000,24,328,126000,0
140000,18,807,22000,1
80000,27,509,72000,0
215000,32,757,6000,1
60000,61,384,114000,0
170000,61,773,66000,1
125000,88,355,113000,0
115000,61,661,146000,0
215000,22,651,84000,1
85000,41,323,112000,0
65000,40,303,91000,0
45000,49,510,130000,0
95000,26,746,82000,1
225000,61,790,12000,1
145000,44,485,78000,0
70000,73,661,92000,1
105000,40,532,76000,0
190000,30,756,91000,1
100000,54,625,116000,0
65000,35,387,62000,0
150000,84,775,49000,1
105000,51,618,59000,0
110000,62,801,78000,1
250000,53,699,15000,1
50000,79,400,102000,0
185000,85,826,4000,1
240000,25,847,61000,1
65000,49,382,56000,0
30000,26,758,49000,1
105000,57,534,142000,0
45000,49,488,71000,0
135000,33,582,68000,0
130000,45,504,149000,0
135000,85,719,97000,1
65000,62,674,129000,0
150000,76,847,44000,1
90000,87,632,126000,0
180000,31,817,2000,1
185000,39,710,37000,1
95000,56,665,60000,1
70000,31,558,127000,0
245000,77,848,29000,1
180000,53,692,11000,1
145000,61,647,115000,0
245000,70,771,84000,1
140000,64,597,50000,0
70000,24,627,63000,0
170000,46,693,52000,1
80000,30,844,8000,1
130000,78,660,32000,1
245000,75,754,45000,1
160000,77,847,83000,1
240000,23,820,21000,1
65000,87,466,86000,0
95000,52,353,91000,0
140000,57,459,87000,0
190000,56,744,52000,1
115000,24,346,70000,0
160000,47,675,91000,1
145000,42,734,18000,1
80000,58,587,115000,0
25000,62,360,95000,0
95000,32,669,64000,0
165000,76,652,77000,1
130000,56,657,64000,1
90000,61,435,75000,0
110000,85,627,71000,0
85000,85,661,17000,1
85000,42,519,52000,0
25000,62,378,84000,0
245000,36,849,82000,1
35000,21,313,51000,0
215000,76,794,84000,1
140000,59,476,56000,0
80000,22,636,67000,0
125000,43,777,77000,1
75000,57,776,34000,1
125000,23,678,17000,1
80000,70,512,73000,0
25000,89,835,62000,1
60000,23,300,51000,0
115000,24,498,107000,0
95000,57,836,60000,1
70000,40,801,87000,1
230000,86,690,75000,1
40000,81,617,67000,0
165000,88,841,44000,1
35000,84,622,115000,0
200000,36,804,79000,1
30000,69,846,99000,1
120000,32,537,57000,0
145000,82,724,79000,1
185000,46,760,34000,1
250000,52,715,37000,1
35000,74,386,72000,0
185000,28,718,3000,1
135000,25,823,90000,1
60000,40,555,69000,0
200000,63,757,72000,1
195000,22,796,36000,1
85000,34,451,111000,0
40000,78,519,122000,0
85000,69,670,149000,0
145000,21,529,99000,0
85000,78,502,110000,0
75000,55,523,103000,0
100000,69,660,16000,1
150000,52,560,123000,0
140000,24,701,39000,1
105000,23,691,84000,1
110000,52,740,69000,1
110000,25,825,79000,1
80000,27,571,139000,0
135000,39,625,107000,0
225000,74,810,64000,1
30000,44,499,99000,0
135000,71,582,102000,0
120000,57,712,77000,1
85000,21,811,86000,1
75000,80,384,110000,0
225000,57,834,52000,1
60000,42,702,44000,1
150000,63,377,59000,0
125000,70,503,139000,0
115000,38,761,32000,1
50000,77,700,72000,1
110000,72,730,43000,1
65000,45,454,120000,0
130000,34,687,50000,0
205000,23,776,92000,1
50000,71,325,53000,0
45000,44,643,111000,0
95000,19,821,4000,1
100000,57,441,131000,0
135000,70,651,30000,1
75000,69,491,86000,0
40000,86,812,70000,1
65000,36,658,96000,1
105000,65,764,2000,1
120000,71,664,13000,1
140000,32,683,91000,1
210000,81,658,23000,1
80000,86,526,145000,0
80000,53,829,80000,1
210000,46,663,43000,1
185000,69,670,18000,1
135000,88,671,120000,0
55000,28,500,64000,0
145000,27,783,27000,1
190000,74,769,43000,1
90000,22,669,109000,0
40000,60,794,13000,1
205000,18,733,4000,1
200000,87,705,68000,1
95000,63,680,130000,0
95000,87,658,74000,1
90000,73,373,118000,0
95000,36,826,62000,1
45000,53,707,42000,1
65000,38,799,23000,1
50000,20,300,147000,0
130000,86,443,126000,0
175000,66,765,84000,1
85000,86,778,4000,1
30000,45,314,79000,0
35000,22,755,7000,1
65000,36,589,89000,0
125000,42,550,51000,0
85000,19,404,133000,0
220000,46,723,81000,1
50000,72,366,92000,0
75000,90,675,82000,1
135000,32,665,72000,0
220000,78,775,37000,1
140000,67,441,88000,0
60000,81,636,131000,0
75000,50,740,47000,1
40000,21,464,126000,0
180000,43,722,4000,1
230000,90,731,54000,1
95000,80,322,54000,0
120000,46,306,108000,0
115000,63,542,54000,0
180000,24,796,1000,1
240000,73,687,83000,1
65000,76,771,82000,1
35000,72,774,93000,1
120000,30,621,112000,0
30000,27,555,75000,0
85000,89,322,65000,0
40000,70,479,93000,0
170000,37,830,95000,1
65000,37,560,137000,0
200000,20,798,42000,1
245000,73,826,88000,1
175000,33,834,11000,1
160000,39,804,21000,1
30000,66,329,138000,0
165000,40,652,32000,1
85000,36,770,48000,1
135000,85,525,64000,0
140000,34,613,80000,0
50000,88,507,136000,0
85000,18,676,83000,0
120000,43,663,55000,1
45000,67,395,146000,0
150000,33,667,77000,1
90000,49,658,136000,0
140000,80,400,93000,0
235000,43,844,20000,1
40000,45,706,62000,1
210000,81,746,86000,1
90000,67,473,138000,0
50000,69,615,52000,0
250000,45,828,89000,1
155000,78,688,64000,1
80000,68,746,51000,1
125000,49,413,80000,0
240000,34,699,68000,1
40000,22,692,77000,1
25000,89,378,59000,0
80000,68,643,66000,0
30000,26,553,135000,0
110000,73,355,138000,0
95000,84,472,126000,0
115000,74,523,64000,0
235000,65,773,57000,1
65000,67,634,74000,0
45000,70,624,84000,0
130000,83,556,123000,0
120000,59,504,90000,0
25000,33,384,82000,0
45000,87,364,85000,0
120000,64,813,98000,1
205000,53,820,99000,1
30000,80,524,108000,0
145000,67,817,38000,1
115000,60,369,66000,0
100000,29,392,50000,0
210000,62,700,66000,1
25000,59,668,87000,1
125000,72,385,130000,0
30000,82,759,33000,1
100000,85,818,5000,1
145000,46,391,58000,0
120000,59,314,123000,0
140000,66,702,4000,1
120000,50,652,73000,1
65000,32,641,85000,0
45000,55,700,0,1
85000,84,689,44000,1
200000,78,814,92000,1
80000,73,664,74000,1
115000,58,535,122000,0
55000,60,849,72000,1
140000,22,720,0,1
40000,56,700,56000,1
225000,38,709,74000,1
215000,43,828,46000,1
75000,89,514,59000,0
50000,32,723,35000,1
150000,64,776,97000,1
30000,52,384,95000,0
70000,81,555,68000,0
110000,33,559,140000,0
100000,55,566,97000,0
95000,78,475,125000,0
220000,43,790,18000,1
135000,25,514,122000,0
225000,43,841,89000,1
30000,46,689,3000,1
185000,59,739,96000,1
80000,41,488,89000,0
120000,53,585,114000,0
50000,40,652,78000,0
75000,43,738,50000,1
120000,50,456,149000,0
230000,56,813,23000,1
190000,71,712,16000,1
200000,78,745,58000,1
155000,79,810,52000,1
135000,24,741,20000,1
165000,55,829,74000,1
60000,85,756,37000,1
50000,56,355,101000,0
30000,82,675,116000,0
140000,60,654,93000,0
170000,39,838,46000,1
140000,27,772,62000,1
70000,48,755,89000,1
75000,33,766,7000,1
175000,62,657,2000,1
140000,26,389,104000,0
215000,59,751,4000,1
125000,58,689,13000,1
75000,19,428,137000,0
140000,22,434,84000,0
70000,23,494,126000,0
30000,78,647,67000,0
150000,26,767,16000,1
110000,85,555,95000,0
70000,48,823,91000,1
95000,38,667,146000,0
55000,41,593,146000,0
45000,41,633,55000,0
250000,56,798,65000,1
90000,18,664,14000,1
110000,33,592,72000,0
30000,25,374,61000,0
140000,69,815,97000,1
40000,70,619,127000,0
30000,80,491,110000,0
50000,44,589,110000,0
70000,42,594,148000,0
80000,43,506,103000,0
70000,29,726,86000,1
40000,43,807,25000,1
250000,31,782,45000,1
40000,46,726,44000,1
40000,28,765,87000,1
145000,23,454,95000,0
65000,89,665,90000,1
165000,51,668,28000,1
145000,89,590,132000,0
140000,51,365,56000,0
75000,72,420,62000,0
60000,79,700,9000,1
160000,19,765,89000,1
195000,75,839,35000,1
130000,61,718,88000,1
110000,66,394,148000,0
215000,46,806,82000,1
130000,67,818,61000,1
80000,30,481,132000,0
130000,85,808,1000,1
125000,53,567,87000,0
140000,85,397,53000,0
110000,73,380,96000,0
195000,48,810,38000,1
65000,34,656,96000,1
40000,60,484,76000,0
160000,51,663,46000,1
60000,89,781,7000,1
100000,44,778,54000,1
240000,87,722,0,1
230000,72,658,41000,1
45000,89,679,77000,0
85000,43,563,90000,0
50000,66,521,137000,0
240000,55,651,50000,1
75000,79,531,105000,0
95000,43,553,100000,0
150000,82,402,70000,0
95000,39,655,27000,1
200000,51,676,32000,1
250000,48,819,72000,1
145000,86,389,76000,0
45000,25,629,119000,0
35000,80,625,105000,0
90000,37,301,131000,0
105000,66,658,62000,1
170000,53,744,68000,1
45000,66,815,91000,1
245000,37,658,92000,1
250000,19,778,59000,1
210000,39,780,17000,1
55000,47,431,77000,0
90000,46,638,60000,0
115000,75,625,76000,0
90000,76,672,67000,0
90000,40,416,61000,0
25000,79,370,110000,0
110000,60,543,125000,0
215000,33,672,28000,1
225000,56,839,89000,1
115000,48,690,17000,1
150000,30,733,62000,1
155000,21,850,25000,1
120000,28,742,31000,1
35000,20,524,62000,0
205000,33,736,94000,1
85000,53,792,5000,1
110000,33,611,80000,0
135000,29,304,106000,0
145000,35,798,30000,1
30000,20,763,31000,1
150000,76,318,61000,0
230000,22,667,72000,1
60000,66,334,63000,0
185000,23,723,50000,1
140000,63,374,90000,0
115000,47,493,73000,0
70000,69,694,55000,1
135000,43,804,75000,1
30000,36,752,99000,1
110000,62,757,46000,1
75000,39,663,126000,0
145000,23,562,127000,0
90000,54,814,73000,1
140000,50,662,5000,1
190000,55,780,26000,1
35000,50,592,105000,0
45000,89,303,147000,0
110000,46,479,94000,0
80000,31,467,66000,0
85000,31,622,121000,0
35000,88,648,80000,0
70000,25,596,74000,0
135000,48,825,95000,1
200000,44,671,25000,1
185000,23,836,36000,1
100000,45,538,74000,0
150000,50,338,144000,0
40000,42,474,50000,0
100000,65,553,138000,0
240000,59,828,31000,1
135000,71,492,92000,0
130000,63,833,39000,1
175000,73,734,93000,1
110000,84,608,129000,0
95000,29,432,149000,0
75000,59,765,88000,1
90000,37,683,89000,1
110000,74,350,98000,0
100000,76,785,24000,1
145000,88,684,85000,1
105000,36,742,76000,1
220000,50,744,69000,1
60000,57,846,39000,1
115000,89,348,138000,0
65000,76,461,62000,0
235000,68,847,94000,1
65000,71,684,4000,1
110000,81,678,138000,0
70000,22,776,66000,1
140000,71,574,103000,0
45000,28,588,115000,0
45000,66,423,61000,0
105000,40,760,29000,1
140000,52,634,94000,0
195000,58,745,58000,1
95000,50,371,112000,0
65000,36,838,7000,1
25000,61,783,8000,1
50000,38,793,78000,1
30000,37,617,95000,0
150000,52,594,70000,0
60000,73,342,147000,0
150000,90,822,81000,1
135000,19,503,87000,0
120000,40,440,94000,0
125000,54,510,121000,0
140000,54,365,101000,0
100000,30,566,110000,0
60000,80,339,95000,0
200000,79,717,5000,1
90000,65,538,111000,0
40000,53,325,114000,0
180000,55,655,80000,1
80000,18,388,134000,0
150000,23,765,71000,1
45000,63,495,142000,0
215000,52,798,13000,1
55000,70,431,81000,0
90000,30,847,84000,1
145000,39,517,77000,0
75000,37,792,71000,1
35000,62,300,74000,0
55000,28,794,29000,1
60000,34,651,28000,1
155000,37,735,94000,1
120000,20,331,123000,0
245000,42,783,97000,1
30000,87,511,112000,0
105000,60,464,69000,0
160000,74,793,89000,1
230000,71,850,98000,1
70000,22,770,78000,1
105000,33,433,145000,0
50000,63,759,17000,1
135000,63,530,135000,0
40000,57,817,63000,1
